ds	vid	docid	20191224	20191225	20191226	20191227
20191224	1688849984269953	e2_AIEALgZkAAclNakYixRR16rwk8zzG	1688849984269953	\N	1688849984269953	\N
20191223	1688849984627233	w2_ACEAogZpAAc8qxhigW6Skine7uZ8K	\N	\N	\N	\N
20191223	1688849984629245	w2_AP0AqQZpAActooOB6tpQKq5kG4TF1	\N	\N	\N	\N
20191223	1688849984629245	w2_AP0AqQZpAActZ1jKoaPTjqsfDzp0X	\N	\N	\N	\N
20191223	1688849984629245	e2_AP0AqQZpAAcFhW3iaoGSOudQf2Q2n	\N	\N	\N	\N
20191223	1688849985341594	e2_AJoAiAZ0AAcg1GYK2x0QES6gPPufp	\N	1688849985341594	\N	\N
20191223	1688849985341594	e2_AJoAiAZ0AAc0b69OuU3QVO1fmq0aJ	\N	1688849985341594	\N	\N
20191223	1688849985341594	e2_AJoAiAZ0AAckZ0pfOJRQJWgk85iSu	\N	1688849985341594	\N	\N
20191223	1688849985341594	e2_AJoAiAZ0AAcB1Xhw80IReSGYE1iUI	\N	1688849985341594	\N	\N
20191223	1688849985341594	e2_AJoAiAZ0AAc1DlZze30S2CszoFu6q	\N	1688849985341594	\N	\N
20191223	1688849985341594	e2_AJoAiAZ0AAcm7EymBAMT2KyZpl1Iw	\N	1688849985341594	\N	\N
20191223	1688849985341594	e2_AJoAiAZ0AAciOEmRKyTSymaV3WN7e	\N	1688849985341594	\N	\N
20191223	1688849985367051	e2_AAsA7AZ0AAc43nEIvgDTX0b1fN33s	\N	\N	\N	\N
20191223	1688849985426505	w2_AEkA1AZ1AAcaxL3egqaR70KiZAv3f	\N	\N	\N	\N
20191223	1688849985426505	e2_AEkA1AZ1AAcN70xOOX7RDWzmT0pDL	\N	\N	\N	\N
20191224	1688849986558659	w2_AMMAGgaHAAcUI0xmIrQTkiF8vuKgq	1688849986558659	\N	\N	\N
20191224	1688849986558659	w2_AMMAGgaHAAcUI0xmIrQTkiF8vuKgq	1688849986558659	\N	\N	\N
