ds	vid	docid	20191224	20191225	20191226	20191227
20191224	1688850050365806		1688850050365806	\N	\N	\N
20191224	1688850050365806		1688850050365806	\N	\N	\N
20191223	1688850051290135		\N	\N	\N	\N
20191223	1688850053360360		\N	\N	\N	\N
20191223	1688850053369130		\N	\N	\N	\N
20191223	1688850054355657		\N	\N	\N	\N
20191224	1688850054505724		1688850054505724	1688850054505724	1688850054505724	\N
20191223	1688850055333689		1688850055333689	1688850055333689	1688850055333689	1688850055333689
20191223	1688850055333689		1688850055333689	1688850055333689	1688850055333689	1688850055333689
20191224	1688850055334230		1688850055334230	\N	\N	\N
20191224	1688850055334230		1688850055334230	\N	\N	\N
20191224	1688850055522676		1688850055522676	\N	\N	\N
20191224	1688850055522676		1688850055522676	\N	\N	\N
20191224	1688850056366696		1688850056366696	\N	\N	\N
20191224	1688850056471981		1688850056471981	\N	\N	\N
20191224	1688850056471988		1688850056471988	\N	\N	\N
20191224	1688850057351706		1688850057351706	\N	\N	\N
20191224	1688850059297645		1688850059297645	\N	\N	\N
20191223	1688850059340404		\N	\N	\N	\N
20191224	1688850059349909		1688850059349909	\N	\N	\N
20191223	1688850059359597		\N	\N	\N	\N
20191223	1688850059389730		1688850059389730	1688850059389730	\N	1688850059389730
20191223	1688850059408901		1688850059408901	1688850059408901	1688850059408901	1688850059408901
20191223	1688850060272306		\N	\N	1688850060272306	\N
20191223	1688850061314637		\N	\N	\N	\N
20191224	1688850061458022		1688850061458022	\N	\N	\N
20191224	1688850061458022		1688850061458022	\N	\N	\N
20191224	1688850062523526		1688850062523526	\N	\N	\N
20191223	1688850063759958		\N	\N	\N	\N
20191224	1688850063763080		1688850063763080	\N	\N	\N
20191224	1688850063807207		1688850063807207	\N	\N	\N
20191223	1688850064292530		\N	\N	\N	\N
20191223	1688850064690633		\N	\N	\N	\N
20191223	1688850065328011		\N	\N	1688850065328011	\N
20191224	1688850067379733		1688850067379733	1688850067379733	\N	\N
20191224	1688850067379733		1688850067379733	1688850067379733	\N	\N
20191224	1688850067981322		1688850067981322	\N	1688850067981322	\N
20191223	1688850068357160		1688850068357160	\N	\N	\N
20191223	1688850068357160		1688850068357160	\N	\N	\N
20191223	1688850069126284		\N	\N	\N	\N
20191224	1688850069951147		1688850069951147	\N	\N	\N
20191224	1688850069951147		1688850069951147	\N	\N	\N
20191224	1688850070884280		1688850070884280	\N	\N	\N
20191223	1688850071361156		\N	\N	\N	\N
20191223	1688850071759868		\N	\N	\N	\N
20191224	1688850072744186		1688850072744186	\N	\N	\N
20191223	1688850072886145		\N	\N	\N	\N
20191224	1688850072889827		1688850072889827	\N	\N	1688850072889827
20191223	1688850072891725		1688850072891725	\N	\N	\N
20191224	1688850072901687		1688850072901687	\N	\N	\N
20191224	1688850074276188		1688850074276188	\N	\N	\N
20191224	1688850074276188		1688850074276188	\N	\N	\N
20191224	1688850075845843		1688850075845843	\N	\N	\N
20191223	1688850076390069		\N	\N	\N	\N
20191224	1688850077278343		1688850077278343	\N	\N	\N
20191223	1688850078800695		1688850078800695	1688850078800695	\N	\N
20191223	1688850078859494		\N	\N	\N	\N
20191224	1688850079305095		1688850079305095	\N	\N	\N
20191223	1688850079361757		\N	\N	\N	\N
20191223	1688850080352903		\N	\N	\N	\N
20191224	1688850080387682		1688850080387682	\N	\N	\N
20191224	1688850080387682		1688850080387682	\N	\N	\N
20191223	1688850080649624		\N	1688850080649624	\N	\N
20191223	1688850080664988		\N	1688850080664988	\N	\N
20191224	1688850081310039		1688850081310039	\N	\N	\N
20191223	1688850081356735		\N	\N	\N	\N
20191224	1688850081767274		1688850081767274	\N	\N	\N
20191224	1688850081775023		1688850081775023	\N	\N	\N
20191224	1688850081795460		1688850081795460	\N	\N	\N
20191224	1688850081795460		1688850081795460	\N	\N	\N
20191223	1688850082703039		1688850082703039	1688850082703039	1688850082703039	1688850082703039
20191224	1688850083749378		1688850083749378	\N	\N	1688850083749378
20191224	1688850083749378		1688850083749378	\N	\N	1688850083749378
20191224	1688850084709693		1688850084709693	\N	1688850084709693	\N
20191223	1688850084709977		\N	\N	\N	\N
20191224	1688850084762880		1688850084762880	\N	\N	\N
20191223	1688850086604877		1688850086604877	1688850086604877	\N	1688850086604877
20191223	1688850086717137		1688850086717137	1688850086717137	1688850086717137	1688850086717137
20191223	1688850086717137		1688850086717137	1688850086717137	1688850086717137	1688850086717137
20191223	1688850086721150		\N	1688850086721150	\N	\N
20191223	1688850086721150		\N	1688850086721150	\N	\N
20191223	1688850086747270		1688850086747270	1688850086747270	1688850086747270	1688850086747270
20191223	1688850086747270		1688850086747270	1688850086747270	1688850086747270	1688850086747270
20191223	1688850086747270		1688850086747270	1688850086747270	1688850086747270	1688850086747270
20191223	1688850086747270		1688850086747270	1688850086747270	1688850086747270	1688850086747270
20191223	1688850086753705		\N	\N	1688850086753705	1688850086753705
20191223	1688850088342425		\N	\N	1688850088342425	\N
20191223	1688850090291474		1688850090291474	1688850090291474	1688850090291474	\N
20191223	1688850090314721		\N	\N	\N	\N
20191223	1688850091290545		\N	\N	\N	\N
20191224	1688850091682639		1688850091682639	\N	\N	\N
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191223	1688850092426130		1688850092426130	1688850092426130	1688850092426130	1688850092426130
20191224	1688850092448522		1688850092448522	\N	\N	\N
20191223	1688850092796103		\N	1688850092796103	1688850092796103	1688850092796103
20191224	1688850092833024		1688850092833024	1688850092833024	\N	\N
20191224	1688850092833024		1688850092833024	1688850092833024	\N	\N
20191223	1688850095733381		\N	\N	\N	\N
20191223	1688850096328592		\N	\N	\N	\N
20191223	1688850096329168		1688850096329168	1688850096329168	1688850096329168	\N
20191223	1688850096329608		\N	\N	\N	\N
20191224	1688850096331945		1688850096331945	\N	\N	\N
20191224	1688850096331945		1688850096331945	\N	\N	\N
20191224	1688850096537623		1688850096537623	\N	1688850096537623	\N
20191223	1688850096649654		\N	\N	\N	\N
20191224	1688850097707043		1688850097707043	\N	\N	\N
20191224	1688850097707043		1688850097707043	\N	\N	\N
20191223	1688850097776508		1688850097776508	1688850097776508	1688850097776508	1688850097776508
20191223	1688850098898783		\N	\N	\N	\N
20191223	1688850099191359		1688850099191359	1688850099191359	1688850099191359	1688850099191359
20191224	1688850099601711		1688850099601711	\N	\N	\N
20191224	1688850099601711		1688850099601711	\N	\N	\N
20191223	1688850099753553		\N	\N	\N	\N
20191224	1688850105697082		1688850105697082	\N	\N	\N
20191223	1688850106298402		\N	\N	\N	\N
20191223	1688850106348808		\N	\N	\N	\N
20191223	1688850106388925		1688850106388925	1688850106388925	1688850106388925	1688850106388925
20191223	1688850106671785		\N	\N	\N	\N
20191223	1688850106698325		\N	\N	\N	\N
20191224	1688850106738384		1688850106738384	\N	\N	\N
20191223	1688850106839789		1688850106839789	1688850106839789	\N	1688850106839789
20191224	1688850106864328		1688850106864328	\N	1688850106864328	\N
20191224	1688850108726303		1688850108726303	\N	\N	\N
20191224	1688850108726303		1688850108726303	\N	\N	\N
20191224	1688850110774391		1688850110774391	\N	\N	\N
20191224	1688850110774391		1688850110774391	\N	\N	\N
20191223	1688850111499236		\N	1688850111499236	\N	\N
20191224	1688850112713669		1688850112713669	\N	\N	\N
20191224	1688850112713669		1688850112713669	\N	\N	\N
20191224	1688850113566652		1688850113566652	\N	\N	\N
20191224	1688850116680138		1688850116680138	\N	\N	\N
20191223	1688850118367094		\N	1688850118367094	\N	\N
20191223	1688850119660958		\N	\N	\N	\N
20191224	1688850119662887		1688850119662887	\N	\N	\N
20191224	1688850119716705		1688850119716705	\N	\N	\N
20191224	1688850119716705		1688850119716705	\N	\N	\N
20191224	1688850123346451		1688850123346451	\N	\N	\N
20191223	1688850123403071		\N	\N	\N	\N
20191223	1688850123407004		\N	\N	\N	\N
20191224	1688850123411022		1688850123411022	1688850123411022	1688850123411022	\N
20191224	1688850123411022		1688850123411022	1688850123411022	1688850123411022	\N
20191224	1688850123411022		1688850123411022	1688850123411022	1688850123411022	\N
20191224	1688850123411022		1688850123411022	1688850123411022	1688850123411022	\N
20191224	1688850123424082		1688850123424082	\N	\N	\N
20191224	1688850123424082		1688850123424082	\N	\N	\N
20191224	1688850123424082		1688850123424082	\N	\N	\N
20191224	1688850123424082		1688850123424082	\N	\N	\N
20191224	1688850125301445		1688850125301445	\N	\N	\N
20191224	1688850125301445		1688850125301445	\N	\N	\N
20191223	1688850127370382		\N	\N	\N	\N
20191224	1688850127443180		1688850127443180	\N	\N	\N
20191223	1688850128479083		1688850128479083	\N	\N	\N
20191224	1688850130284322		1688850130284322	\N	\N	\N
20191224	1688850130317452		1688850130317452	\N	\N	\N
20191223	1688850130354216		\N	\N	\N	\N
20191223	1688850130418550		\N	\N	\N	\N
20191224	1688850130430365		1688850130430365	1688850130430365	1688850130430365	1688850130430365
20191224	1688850130430365		1688850130430365	1688850130430365	1688850130430365	1688850130430365
20191224	1688850130464928		1688850130464928	1688850130464928	\N	1688850130464928
20191224	1688850130469977		1688850130469977	\N	\N	\N
20191224	1688850130469977		1688850130469977	\N	\N	\N
20191223	1688850131772488		\N	\N	\N	\N
20191223	1688850132342044		\N	\N	\N	\N
20191224	1688850132342505		1688850132342505	\N	\N	\N
20191223	1688850134334622		\N	\N	\N	\N
20191223	1688850134496490		\N	\N	1688850134496490	\N
20191223	1688850134497064		\N	\N	\N	\N
20191223	1688850135859363		\N	\N	1688850135859363	\N
20191223	1688850135860761		\N	\N	\N	\N
20191223	1688850135872540		\N	\N	\N	\N
20191224	1688850137440064		1688850137440064	\N	\N	\N
20191223	1688850139354108		\N	\N	\N	\N
20191223	1688850143322967		\N	1688850143322967	\N	\N
20191224	1688850144306617		1688850144306617	1688850144306617	\N	\N
20191223	1688850146294565		1688850146294565	\N	\N	\N
20191223	1688850146294565		1688850146294565	\N	\N	\N
20191224	1688850146388312		1688850146388312	\N	\N	\N
20191223	1688850146391488		\N	\N	\N	\N
20191223	1688850146392258		\N	\N	\N	\N
20191223	1688850147382749		\N	\N	\N	\N
20191223	1688850147382751		\N	\N	\N	\N
20191223	1688850149498509		\N	\N	\N	\N
20191223	1688850150380447		1688850150380447	1688850150380447	1688850150380447	1688850150380447
20191223	1688850150380447		1688850150380447	1688850150380447	1688850150380447	1688850150380447
20191224	1688850150461980		1688850150461980	\N	\N	\N
20191224	1688850153491391		1688850153491391	\N	\N	\N
20191223	1688850153494024		1688850153494024	\N	\N	\N
20191223	1688850153494024		1688850153494024	\N	\N	\N
20191224	1688850154379027		1688850154379027	\N	\N	\N
20191224	1688850156586622		1688850156586622	\N	\N	\N
